  ^28/*28$ ^ымыӈ/*ымыӈ$
   ^6/*6$ ^иниквъи/*иниквъи$
   ^6/*6$ ^авэԓёӄаткыԓьэн/*авэԓёӄаткыԓьэн$
   ^6/*6$ ^Ытри/*Ытри$
   ^6/*6$ ^Чакыгэт/*Чакыгэт$
   ^6/*6$ ^Уʼвэӄучитэ/*Уʼвэӄучитэ$
   ^6/*6$ ^Татԓыгнэнат/*Татԓыгнэнат$
   ^6/*6$ ^Оккой/*Оккой$
   ^6/*6$ ^Нататԓынын/*Нататԓынын$
   ^6/*6$ ^Миӈкы/*Миӈкы$
   ^6/*6$ ^Игыр/*Игыр$
   ^6/*6$ ^c/*c$
   ^5/*5$ ^ԓыԓет/*ԓыԓет$
   ^5/*5$ ^ӈот/*ӈот$
   ^5/*5$ ^ӈаеты/*ӈаеты$
   ^5/*5$ ^ӈаан/*ӈаан$
   ^5/*5$ ^ӄымэԓ/*ӄымэԓ$
   ^5/*5$ ^ӄинэйыԓгытык/*ӄинэйыԓгытык$
   ^5/*5$ ^ӄаат/*ӄаат$
   ^5/*5$ ^Ӄэмипԓыткук/*Ӄэмипԓыткук$
   ^5/*5$ ^Ӄыгитэ/*Ӄыгитэ$
   ^5/*5$ ^Ӄаанты/*Ӄаанты$
   ^5/*5$ ^янор/*янор$
   ^5/*5$ ^яатрыԓга/*яатрыԓга$
   ^5/*5$ ^эръэт/*эръэт$
   ^5/*5$ ^ытԓенъюӄэй/*ытԓенъюӄэй$
   ^5/*5$ ^ытръэчтэгын/*ытръэчтэгын$
   ^5/*5$ ^ыʼтвыԓьын/*ыʼтвыԓьын$
   ^5/*5$ ^у/*у$
   ^5/*5$ ^турыпкитԓьэн/*турыпкитԓьэн$
   ^5/*5$ ^таӈамынан/*таӈамынан$
   ^5/*5$ ^пэрэёԓӄыԓ/*пэрэёԓӄыԓ$
   ^5/*5$ ^нэтчыгъэн/*нэтчыгъэн$
   ^5/*5$ ^нэнтыгъэн/*нэнтыгъэн$
   ^5/*5$ ^нымкыӄин/*нымкыӄин$
   ^5/*5$ ^нинэткуӄинэт/*нинэткуӄинэт$
   ^5/*5$ ^нинэгитэӄин/*нинэгитэӄин$
   ^5/*5$ ^мынгэпы/*мынгэпы$
   ^5/*5$ ^кыпԓынэн/*кыпԓынэн$
   ^5/*5$ ^итыкэвын/*итыкэвын$
   ^5/*5$ ^игыт/*игыт$
   ^5/*5$ ^ейвэчу/*ейвэчу$
   ^5/*5$ ^вуԓӄытвик/*вуԓӄытвик$
   ^5/*5$ ^вайыӈӄэн/*вайыӈӄэн$
   ^5/*5$ ^ачыгнэн/*ачыгнэн$
   ^5/*5$ ^амӄынэргатык/*амӄынэргатык$
   ^5/*5$ ^амъатав/*амъатав$
   ^5/*5$ ^Эʼԓеӄуйым/*Эʼԓеӄуйым$
   ^5/*5$ ^Чакэтта/*Чакэтта$
   ^5/*5$ ^Уӄӄэмӄэйынэ/*Уӄӄэмӄэйынэ$
   ^5/*5$ ^Уʼвэӄуч/*Уʼвэӄуч$
   ^5/*5$ ^Оок/*Оок$
   ^5/*5$ ^Наӄамԓым/*Наӄамԓым$
   ^5/*5$ ^Мэ/*Мэ$
   ^5/*5$ ^Йиԓьы/*Йиԓьы$
   ^5/*5$ ^Ик/*Ик$
   ^5/*5$ ^Гако/*Гако$
   ^4/*4$ ^ԓынъёт/*ԓынъёт$
   ^4/*4$ ^ӈэԓвыԓьык/*ӈэԓвыԓьык$
   ^4/*4$ ^ӈаԓвыԓьийӈын/*ӈаԓвыԓьийӈын$
   ^4/*4$ ^ӄэԓёӄ/*ӄэԓёӄ$
   ^4/*4$ ^Ӄунԓеԓюӄэй/*Ӄунԓеԓюӄэй$
   ^4/*4$ ^Ӄунԓеԓюн/*Ӄунԓеԓюн$
   ^4/*4$ ^яӈагты/*яӈагты$
   ^4/*4$ ^этаны/*этаны$
   ^4/*4$ ^эпԓеэн/*эпԓеэн$
   ^4/*4$ ^энарэрыԓьэгым/*энарэрыԓьэгым$
   ^4/*4$ ^эймэквъи/*эймэквъи$
   ^4/*4$ ^эʼнӄу/*эʼнӄу$
   ^4/*4$ ^ытԓывъёт/*ытԓывъёт$
   ^4/*4$ ^ынӄоръым/*ынӄоръым$
   ^4/*4$ ^ынпыначгыӄагтэ/*ынпыначгыӄагтэ$
   ^4/*4$ ^ынинэт/*ынинэт$
   ^4/*4$ ^ыʼсӄаӄовэнӄор/*ыʼсӄаӄовэнӄор$
   ^4/*4$ ^ы/*ы$
   ^4/*4$ ^чавчыват/*чавчыват$
   ^4/*4$ ^тэгъеӈу/*тэгъеӈу$
   ^4/*4$ ^тымкыԓевыт/*тымкыԓевыт$
   ^4/*4$ ^татԓыгнэнат/*татԓыгнэнат$
   ^4/*4$ ^рэԓкучыку/*рэԓкучыку$
   ^4/*4$ ^пэтԓеӄэй/*пэтԓеӄэй$
   ^4/*4$ ^пыгпыг/*пыгпыг$
   ^4/*4$ ^панэна/*панэна$
   ^4/*4$ ^оʼраӈанӄо/*оʼраӈанӄо$
   ^4/*4$ ^нэнаԓвавӄэн/*нэнаԓвавӄэн$
   ^4/*4$ ^нэнанмыӄэнат/*нэнанмыӄэнат$
   ^4/*4$ ^нотачгатгыргычыко/*нотачгатгыргычыко$
   ^4/*4$ ^нинэԓьуӄин/*нинэԓьуӄин$
   ^4/*4$ ^нинэԓгыӄин/*нинэԓгыӄин$
   ^4/*4$ ^наранмыгыт/*наранмыгыт$
   ^4/*4$ ^нанмыркын/*нанмыркын$
   ^4/*4$ ^нанмынат/*нанмынат$
   ^4/*4$ ^мэчичьу/*мэчичьу$
   ^4/*4$ ^мыӈигрэп/*мыӈигрэп$
   ^4/*4$ ^мытынмыгъан/*мытынмыгъан$
   ^4/*4$ ^мынгыԓгын/*мынгыԓгын$
   ^4/*4$ ^мынгытча/*мынгытча$
   ^4/*4$ ^моочгычымӈы/*моочгычымӈы$
   ^4/*4$ ^кэԓьэтэ/*кэԓьэтэ$
   ^4/*4$ ^китаӄун/*китаӄун$
   ^4/*4$ ^йыӄӄай/*йыӄӄай$
   ^4/*4$ ^гаԓгаӄагтэ/*гаԓгаӄагтэ$
   ^4/*4$ ^айгыпы/*айгыпы$
   ^4/*4$ ^авынтааԓгыԓята/*авынтааԓгыԓята$
   ^4/*4$ ^Эʼквыргъам/*Эʼквыргъам$
   ^4/*4$ ^Ынпыӈэвӄэе/*Ынпыӈэвӄэе$
   ^4/*4$ ^ЫНКЪАМ/*ЫНКЪАМ$
   ^4/*4$ ^Ы/*Ы$
   ^4/*4$ ^Чьомарагтыгыргына/*Чьомарагтыгыргына$
   ^4/*4$ ^Рэсӄиквъэт/*Рэсӄиквъэт$
   ^4/*4$ ^Пыкирыԓьын/*Пыкирыԓьын$
   ^4/*4$ ^Оʼԓяԓёӄ/*Оʼԓяԓёӄ$
   ^4/*4$ ^О/*О$
   ^4/*4$ ^Нинивӄин/*Нинивӄин$
   ^4/*4$ ^Миӈкэкинэйгыт/*Миӈкэкинэйгыт$
   ^4/*4$ ^Кытԓыги/*Кытԓыги$
   ^4/*4$ ^Етти/*Етти$
   ^4/*4$ ^Ваӈӄасӄорына/*Ваӈӄасӄорына$
   ^3/*3$ ^ԓёӈынма/*ԓёӈынма$
   ^3/*3$ ^ԓыгипэтԓе/*ԓыгипэтԓе$
   ^3/*3$ ^ӈэвыскэт/*ӈэвыскэт$
   ^3/*3$ ^ӈаргыногты/*ӈаргыногты$
   ^3/*3$ ^ӈанӄо/*ӈанӄо$
   ^3/*3$ ^Ӈинӄэгти/*Ӈинӄэгти$
   ^3/*3$ ^ӄԓявыԓмэԓ/*ӄԓявыԓмэԓ$
   ^3/*3$ ^ӄэнапэнрытык/*ӄэнапэнрытык$
   ^3/*3$ ^ӄырэсӄикви/*ӄырэсӄикви$
   ^3/*3$ ^ӄырирнин/*ӄырирнин$
   ^3/*3$ ^ӄынвэрэвыр/*ӄынвэрэвыр$
   ^3/*3$ ^ӄыйпыгынат/*ӄыйпыгынат$
   ^3/*3$ ^ӄорэн/*ӄорэн$
   ^3/*3$ ^ӄиниквытык/*ӄиниквытык$
   ^3/*3$ ^ӄапԓыӄач/*ӄапԓыӄач$
   ^3/*3$ ^Ӄэԓюк/*Ӄэԓюк$
   ^3/*3$ ^Ӄэԓьо/*Ӄэԓьо$
   ^3/*3$ ^Ӄэйвипъэм/*Ӄэйвипъэм$
   ^3/*3$ ^Ӄункинвиӈ/*Ӄункинвиӈ$
   ^3/*3$ ^Ӄонԓяԓёрыкы/*Ӄонԓяԓёрыкы$
   ^3/*3$ ^Ӄиквын/*Ӄиквын$
   ^3/*3$ ^ёрочыкогты/*ёрочыкогты$
   ^3/*3$ ^янръаԓявыԓ/*янръаԓявыԓ$
   ^3/*3$ ^янра/*янра$
   ^3/*3$ ^янотыԓьо/*янотыԓьо$
   ^3/*3$ ^эԓервирти/*эԓервирти$
   ^3/*3$ ^эчгэтты/*эчгэтты$
   ^3/*3$ ^этынва/*этынва$
   ^3/*3$ ^энатвато/*энатвато$
   ^3/*3$ ^эмчинъюргэ/*эмчинъюргэ$
   ^3/*3$ ^эмпэгчиӈэ/*эмпэгчиӈэ$
   ^3/*3$ ^эмиче/*эмиче$
   ^3/*3$ ^эвычаӈ/*эвычаӈ$
   ^3/*3$ ^эʼрыкут/*эʼрыкут$
   ^3/*3$ ^ыԓваваӈӄасӄор/*ыԓваваӈӄасӄор$
   ^3/*3$ ^ыннанмынга/*ыннанмынга$
   ^3/*3$ ^ынанынпычьын/*ынанынпычьын$
   ^3/*3$ ^ыʼтвэты/*ыʼтвэты$
   ^3/*3$ ^чымчеӄэй/*чымчеӄэй$
   ^3/*3$ ^чичеквъи/*чичеквъи$
   ^3/*3$ ^чиниткинэт/*чиниткинэт$
   ^3/*3$ ^чекыяакэнайгым/*чекыяакэнайгым$
   ^3/*3$ ^чагчомачгын/*чагчомачгын$
   ^3/*3$ ^уйнэ/*уйнэ$
   ^3/*3$ ^тэӈэгынрыркэ/*тэӈэгынрыркэ$
   ^3/*3$ ^тэӈытръэч/*тэӈытръэч$
   ^3/*3$ ^тынмыркынэгыт/*тынмыркынэгыт$
   ^3/*3$ ^тымыткоԓьын/*тымыткоԓьын$
   ^3/*3$ ^тымъё/*тымъё$
   ^3/*3$ ^тиквыт/*тиквыт$
   ^3/*3$ ^таӈымыԓьэты/*таӈымыԓьэты$
   ^3/*3$ ^рыԓгъэ/*рыԓгъэ$
   ^3/*3$ ^ръавоԓьэты/*ръавоԓьэты$
   ^3/*3$ ^риӄукэт/*риӄукэт$
   ^3/*3$ ^раԓкогты/*раԓкогты$
   ^3/*3$ ^рачыкон/*рачыкон$
   ^3/*3$ ^ратан/*ратан$
   ^3/*3$ ^пэгчиӈу/*пэгчиӈу$
   ^3/*3$ ^пчиӄэтэ/*пчиӄэтэ$
   ^3/*3$ ^пойгыԓьатык/*пойгыԓьатык$
   ^3/*3$ ^орвытараӈ/*орвытараӈ$
   ^3/*3$ ^нэчвигъэн/*нэчвигъэн$
   ^3/*3$ ^нэнӈивымык/*нэнӈивымык$
   ^3/*3$ ^нэнанмыткоӄэнат/*нэнанмыткоӄэнат$
   ^3/*3$ ^нэнайъоӄэн/*нэнайъоӄэн$
   ^3/*3$ ^ныԓгэнымԓыӄэн/*ныԓгэнымԓыӄэн$
   ^3/*3$ ^нытԓепӄин/*нытԓепӄин$
   ^3/*3$ ^нъыԓгыткы/*нъыԓгыткы$
   ^3/*3$ ^нъатчаӄэн/*нъатчаӄэн$
   ^3/*3$ ^нотагчеян/*нотагчеян$
   ^3/*3$ ^нинэԓгыӄинэт/*нинэԓгыӄинэт$
   ^3/*3$ ^нинэӄэпԓюӄин/*нинэӄэпԓюӄин$
   ^3/*3$ ^нанмыгъан/*нанмыгъан$
   ^3/*3$ ^мэԓпэнин/*мэԓпэнин$
   ^3/*3$ ^мэмыԓен/*мэмыԓен$
   ^3/*3$ ^мынгык/*мынгык$
   ^3/*3$ ^миԓгэр/*миԓгэр$
   ^3/*3$ ^миӈкэкин/*миӈкэкин$
   ^3/*3$ ^маԓьатав/*маԓьатав$
   ^3/*3$ ^мачыргынан/*мачыргынан$
   ^3/*3$ ^мачапъарарыӈ/*мачапъарарыӈ$
   ^3/*3$ ^кэԓьэнпыӈэвӄэй/*кэԓьэнпыӈэвӄэй$
   ^3/*3$ ^кэԓьэнпыӈэвэ/*кэԓьэнпыӈэвэ$
   ^3/*3$ ^кэԓьэнпыӈэв/*кэԓьэнпыӈэв$
   ^3/*3$ ^кыевкы/*кыевкы$
   ^3/*3$ ^конпыӈ/*конпыӈ$
   ^3/*3$ ^киквъи/*киквъи$
   ^3/*3$ ^к/*к$
   ^3/*3$ ^йымнэнат/*йымнэнат$
   ^3/*3$ ^йымнэн/*йымнэн$
   ^3/*3$ ^иԓгъыттъын/*иԓгъыттъын$
   ^3/*3$ ^итыԓьын/*итыԓьын$
   ^3/*3$ ^иа/*иа$
   ^3/*3$ ^етти/*етти$
   ^3/*3$ ^гэнъэтԓинэт/*гэнъэтԓинэт$
   ^3/*3$ ^гэнъэтԓин/*гэнъэтԓин$
   ^3/*3$ ^гыткат/*гыткат$
   ^3/*3$ ^гынтэквъи/*гынтэквъи$
   ^3/*3$ ^гынонрок/*гынонрок$
   ^3/*3$ ^вэӄуч/*вэӄуч$
   ^3/*3$ ^вэтыӄун/*вэтыӄун$
   ^3/*3$ ^вэнвыеквэ/*вэнвыеквэ$
   ^3/*3$ ^выквыԓгын/*выквыԓгын$
   ^3/*3$ ^выква/*выква$
   ^3/*3$ ^анмыка/*анмыка$
   ^3/*3$ ^амран/*амран$
   ^3/*3$ ^ако/*ако$
   ^3/*3$ ^аʼԓятыёткоԓьыт/*аʼԓятыёткоԓьыт$
   ^3/*3$ ^аʼм/*аʼм$
   ^3/*3$ ^Эԓымӈэ/*Эԓымӈэ$
   ^3/*3$ ^Этъоӄааӄын/*Этъоӄааӄын$
   ^3/*3$ ^Эпԓеэн/*Эпԓеэн$
   ^3/*3$ ^Ытръэчтэгын/*Ытръэчтэгын$
   ^3/*3$ ^Ынӄорыӈ/*Ынӄорыӈ$
   ^3/*3$ ^Ынанъаёк/*Ынанъаёк$
   ^3/*3$ ^Ынанвыткокэн/*Ынанвыткокэн$
   ^3/*3$ ^Чеӈэт/*Чеӈэт$
   ^3/*3$ ^Чамъам/*Чамъам$
   ^3/*3$ ^ЧАКЫГЭТ/*ЧАКЫГЭТ$
   ^3/*3$ ^Укумэкынэ/*Укумэкынэ$
   ^3/*3$ ^У/*У$
   ^3/*3$ ^Таӈымыԓьо/*Таӈымыԓьо$
   ^3/*3$ ^Татԓыгнэн/*Татԓыгнэн$
   ^3/*3$ ^Таам/*Таам$
   ^3/*3$ ^Пэнин/*Пэнин$
   ^3/*3$ ^Пытӄыԓымӈэ/*Пытӄыԓымӈэ$
   ^3/*3$ ^Орвык/*Орвык$
   ^3/*3$ ^Оʼтчой/*Оʼтчой$
   ^3/*3$ ^Нутэсӄигыт/*Нутэсӄигыт$
   ^3/*3$ ^Нивынэт/*Нивынэт$
   ^3/*3$ ^Найъогъан/*Найъогъан$
   ^3/*3$ ^Мэӈӄо/*Мэӈӄо$
   ^3/*3$ ^Мачынан/*Мачынан$
   ^3/*3$ ^Кыевкы/*Кыевкы$
   ^3/*3$ ^Иквъэт/*Иквъэт$
   ^3/*3$ ^Гэк/*Гэк$
   ^3/*3$ ^Гинээн/*Гинээн$
   ^3/*3$ ^Аԓымыӈ/*Аԓымыӈ$
   ^3/*3$ ^Амкоргава/*Амкоргава$
   ^3/*3$ ^Авынтыԓяма/*Авынтыԓяма$
   ^2/*2$ ^ԓёӈытва/*ԓёӈытва$
   ^2/*2$ ^ԓьэԓеӈкы/*ԓьэԓеӈкы$
   ^2/*2$ ^ԓынъёттэ/*ԓынъёттэ$
   ^2/*2$ ^ԓымыԓьын/*ԓымыԓьын$
   ^2/*2$ ^ԓыгэӄыԓпэ/*ԓыгэӄыԓпэ$
   ^2/*2$ ^ԓыгэрмэквъи/*ԓыгэрмэквъи$
   ^2/*2$ ^ԓыгиӈиԓгыӄэе/*ԓыгиӈиԓгыӄэе$
   ^2/*2$ ^ԓиԓиԓетыԓьын/*ԓиԓиԓетыԓьын$
   ^2/*2$ ^ԓиԓит/*ԓиԓит$
   ^2/*2$ ^ӈэԓӄиквъи/*ӈэԓӄиквъи$
   ^2/*2$ ^ӈэԓгытвэттэ/*ӈэԓгытвэттэ$
   ^2/*2$ ^ӈээккин/*ӈээккин$
   ^2/*2$ ^ӈэнриԓы/*ӈэнриԓы$
   ^2/*2$ ^ӈэвысӄэтигыт/*ӈэвысӄэтигыт$
   ^2/*2$ ^ӈэвынъюԓьын/*ӈэвынъюԓьын$
   ^2/*2$ ^ӈэвынъюсӄиквъи/*ӈэвынъюсӄиквъи$
   ^2/*2$ ^ӈэвтумгын/*ӈэвтумгын$
   ^2/*2$ ^ӈутри/*ӈутри$
   ^2/*2$ ^ӈотӄо/*ӈотӄо$
   ^2/*2$ ^ӈотэнӄач/*ӈотэнӄач$
   ^2/*2$ ^ӈотыӈӄэнат/*ӈотыӈӄэнат$
   ^2/*2$ ^ӈиԓгыӄэе/*ӈиԓгыӄэе$
   ^2/*2$ ^ӈаргынэн/*ӈаргынэн$
   ^2/*2$ ^ӈайгыпы/*ӈайгыпы$
   ^2/*2$ ^ӈавтыӈгъэ/*ӈавтыӈгъэ$
   ^2/*2$ ^Ӈээкык/*Ӈээкык$
   ^2/*2$ ^Ӈэвтумгын/*Ӈэвтумгын$
   ^2/*2$ ^Ӈотӄо/*Ӈотӄо$
   ^2/*2$ ^Ӈаан/*Ӈаан$
   ^2/*2$ ^ӄԓявыԓеты/*ӄԓявыԓеты$
   ^2/*2$ ^ӄԓявыԓегым/*ӄԓявыԓегым$
   ^2/*2$ ^ӄэԓьо/*ӄэԓьо$
   ^2/*2$ ^ӄэтэръычгын/*ӄэтэръычгын$
   ^2/*2$ ^ӄэтаймак/*ӄэтаймак$
   ^2/*2$ ^ӄэнанмыгэ/*ӄэнанмыгэ$
   ^2/*2$ ^ӄэмипԓыткук/*ӄэмипԓыткук$
   ^2/*2$ ^ӄэйвъэм/*ӄэйвъэм$
   ^2/*2$ ^ӄыԓгэнынԓыръоквыткы/*ӄыԓгэнынԓыръоквыткы$
   ^2/*2$ ^ӄыӄонынмыгын/*ӄыӄонынмыгын$
   ^2/*2$ ^ӄыёпатгын/*ӄыёпатгын$
   ^2/*2$ ^ӄыяагыткы/*ӄыяагыткы$
   ^2/*2$ ^ӄычвигыткы/*ӄычвигыткы$
   ^2/*2$ ^ӄырэсӄиквытык/*ӄырэсӄиквытык$
   ^2/*2$ ^ӄырымэнайгыт/*ӄырымэнайгыт$
   ^2/*2$ ^ӄынымчеквыткы/*ӄынымчеквыткы$
   ^2/*2$ ^ӄынвириквын/*ӄынвириквын$
   ^2/*2$ ^ӄыгтыгыткы/*ӄыгтыгыткы$
   ^2/*2$ ^ӄыгтыгын/*ӄыгтыгын$
   ^2/*2$ ^ӄъатчаркын/*ӄъатчаркын$
   ^2/*2$ ^ӄунэкык/*ӄунэкык$
   ^2/*2$ ^ӄоԓенымэты/*ӄоԓенымэты$
   ^2/*2$ ^ӄоттыԓяма/*ӄоттыԓяма$
   ^2/*2$ ^ӄорак/*ӄорак$
   ^2/*2$ ^ӄончечгырга/*ӄончечгырга$
   ^2/*2$ ^ӄонпы/*ӄонпы$
   ^2/*2$ ^ӄонайӄагтэ/*ӄонайӄагтэ$
   ^2/*2$ ^ӄоймарочыӈкы/*ӄоймарочыӈкы$
   ^2/*2$ ^ӄиԓкымъетгытык/*ӄиԓкымъетгытык$
   ^2/*2$ ^ӄинэвэнӈэтыркынитык/*ӄинэвэнӈэтыркынитык$
   ^2/*2$ ^ӄинъэйӈэвыркын/*ӄинъэйӈэвыркын$
   ^2/*2$ ^ӄиквыткы/*ӄиквыткы$
   ^2/*2$ ^ӄийпыгынат/*ӄийпыгынат$
   ^2/*2$ ^ӄаанматыԓьэты/*ӄаанматыԓьэты$
   ^2/*2$ ^Ӄуԓинымык/*Ӄуԓинымык$
   ^2/*2$ ^Ӄутырык/*Ӄутырык$
   ^2/*2$ ^Ӄуттъим/*Ӄуттъим$
   ^2/*2$ ^Ӄааԓьатынвык/*Ӄааԓьатынвык$
   ^2/*2$ ^Ӄаантана/*Ӄаантана$
   ^2/*2$ ^яӈак/*яӈак$
   ^2/*2$ ^яраԓгйиӈын/*яраԓгйиӈын$
   ^2/*2$ ^янраӈай/*янраӈай$
   ^2/*2$ ^яноттыԓяԓьын/*яноттыԓяԓьын$
   ^2/*2$ ^яаԓейпы/*яаԓейпы$
   ^2/*2$ ^яаԓ/*яаԓ$
   ^2/*2$ ^яатԓьаварат/*яатԓьаварат$
   ^2/*2$ ^эԓьоткоӈӈогъэ/*эԓьоткоӈӈогъэ$
   ^2/*2$ ^эԓьоткомгогъэ/*эԓьоткомгогъэ$
   ^2/*2$ ^эԓервирэ/*эԓервирэ$
