^2606/*2606$ ^./.<sent>$
  ^28/*28$ ^ымыӈ/ымыӈ<adv>$
  ^28/*28$ ^Ынӄэн/ынӄэн<prn><dem><sg><abs>$
  ^27/*27$ ^ӄԓявыԓ/ӄԓявыԓ<n><sg><abs>$
  ^27/*27$ ^Ӄэгԓынангэт/ӄэгԓынангэт<adv>$
  ^27/*27$ ^энмэн/энмэн<cnjcoo>$
  ^27/*27$ ^ынпыначгыӄай/ынпыначгын<n><dim><sg><abs>$
  ^27/*27$ ^уйӈэ/уйӈэ<part>$
  ^27/*27$ ^рыннин/рыник<v><tv><caus><neut><aor><a_sg2><o_sg3>/рытык<v><tv><neut><aor><a_sg3><o_sg3>/тыӄык<v><tv><caus><neut><aor><a_sg3><o_sg3>$
  ^27/*27$ ^нытваӄэн/вак<v><iv><stat><hab><s_sg3>/вак<v><tv><stat><hab><a_pl3><o_sg3>$
  ^27/*27$ ^миӈкыри/миӈкыри<adv>$
  ^27/*27$ ^ванэван/ванэван<part>$
  ^26/*26$ ^ӄытгъи/ӄытык<v><iv><neut><aor><s_sg2>/ӄытык<v><iv><neut><aor><s_sg3>$
  ^26/*26$ ^ынан/ынан<part>/ытԓён<prn><pers><p3><sg><erg>$
  ^25/*25$ ^пынԓёнэн/пынԓёк<v><tv><neut><aor><a_sg3><o_sg3>/пынԓён<n><poss><3sg><sg><abs>$
  ^25/*25$ ^нэмыӄэй/нэмыӄэй<adv>$
  ^25/*25$ ^еп/еп<part>$
  ^25/*25$ ^гымнин/гым<prn><pers><p1><sg><poss><3sg><sg><abs>$
  ^25/*25$ ^Эчги/эчги<adv>$
  ^25/*25$ ^Ынкъам/ынкъам<cnjcoo>$
  ^24/*24$ ^ӄэԓюӄ/ӄэԓюӄ<cnjadv>$
  ^24/*24$ ^ӄытԓыги/рыԓык<v><iv><neut><intn><s_sg2>/ӄытԓыги<adv>/ӄытԓыги<part>$
  ^24/*24$ ^рэмкын/рэмкын<n><px3sg><abs>/рэмкын<n><sg><abs>$
  ^24/*24$ ^Энмэн/энмэн<cnjcoo>$
  ^24/*24$ ^Въэйиръыԓьын/*Въэйиръыԓьын$
  ^23/*23$ ^ԓюур/ԓюур<adv>$
  ^23/*23$ ^Ԓыгэнэвыр/*Ԓыгэнэвыр$
  ^23/*23$ ^рыпэт/рыпэт<part>$
  ^23/*23$ ^итык/итык<v><iv><gna_ant>/итык<v><iv><inf>$
  ^23/*23$ ^аʼмын/аʼмын<ij>$
  ^23/*23$ ^Ынкы/ынкы<adv>$
  ^22/*22$ ^Вай/вай<part>$
  ^21/*21$ ^ӈирэӄ/ӈирэӄ<n><sg><abs>$
  ^21/*21$ ^Ӈэвъэн/ӈэвъэн<n><sg><abs>$
  ^21/*21$ ^эӄыԓпэ/эӄыԓпэ<adv>$
  ^21/*21$ ^татԓыгнэн/татԓыӈык<v><tv><neut><aor><a_sg3><o_sg3>$
  ^21/*21$ ^Ынраӄ/ынраӄ<cnjcoo>$
  ^21/*21$ ^Итык/итык<v><iv><gna_ant>/итык<v><iv><inf>$
  ^20/*20$ ^ӈытогъэ/ӈыток<v><iv><neut><aor><s_sg2>/ӈыток<v><iv><neut><aor><s_sg3>$
  ^20/*20$ ^ӄутти/ӄоԓ<prn><quant><pl><abs>/ӄоԓ<prn><quant><px3pl><abs>$
  ^20/*20$ ^ынраӄ/ынраӄ<cnjcoo>$
  ^20/*20$ ^кэйӈын/кэйӈын<n><px3sg><abs>/кэйӈын<n><sg><abs>$
  ^20/*20$ ^Ынӈин/ынӈин<part>$
  ^20/*20$ ^Ынӈатаԓ/ынӈатаԓ<ij>$
  ^20/*20$ ^Ынӄоры/ынӄоры<adv>$
  ^20/*20$ ^Како/како<ij>$
  ^19/*19$ ^ӈэвысӄэтэ/ӈэвысӄэт<n><erg>$
  ^19/*19$ ^нъэԓгъи/нъэԓык<v><iv><neut><aor><s_sg2>/нъэԓык<v><iv><neut><aor><s_sg3>$
  ^19/*19$ ^итгъи/итык<v><iv><neut><aor><s_sg2>/итык<v><iv><neut><aor><s_sg3>$
  ^19/*19$ ^аʼачек/аʼачек<n><sg><abs>$
  ^19/*19$ ^Ымыԓьо/ымыԓьо<prn><quant><sg>$
  ^19/*19$ ^Вытку/вытку<adv>$
  ^18/*18$ ^ӈээкык/*ӈээкык$
  ^18/*18$ ^ӄун/ӄун<part>$
  ^18/*18$ ^ярагты/яракэн<v><iv><vb>/яраӈы<n><all>$
  ^18/*18$ ^ынин/ытԓён<prn><pers><p3><sg><poss><3sg><sg><abs>$
  ^18/*18$ ^чит/чит<part>$
  ^18/*18$ ^нинивӄин/*нинивӄин$
  ^18/*18$ ^Ярак/яракэн<v><iv><gna_ant>/яракэн<v><iv><inf>/яраӈы<n><loc>$
  ^18/*18$ ^Ынан/ынан<part>/ытԓён<prn><pers><p3><sg><erg>$
  ^17/*17$ ^Ӈэвъэнэ/ӈэвъэн<n><erg>$
  ^17/*17$ ^Ӄутти/ӄоԓ<prn><quant><pl><abs>/ӄоԓ<prn><quant><px3pl><abs>$
  ^17/*17$ ^ытԓя/ытԓя<n><sg><abs>$
  ^17/*17$ ^чакыгэт/чакыгэт<n><sg><abs>$
  ^17/*17$ ^опопы/опопы<part>$
  ^17/*17$ ^Эргатык/эргатык<adv>$
  ^17/*17$ ^Ытԓыгэ/ытԓыгын<n><erg>$
  ^16/*16$ ^ԓыгэнэвыр/*ԓыгэнэвыр$
  ^16/*16$ ^эʼӄэԓьэ/эʼӄэԓьын<n><erg>$
  ^16/*16$ ^эʼӄэԓьыт/эʼӄэԓьын<n><pl><abs>/эʼӄэԓьын<n><px3pl><abs>$
  ^16/*16$ ^эʼми/эʼми<prn><itg>$
  ^16/*16$ ^пыкиргъэт/пыкирык<v><iv><neut><aor><s_pl3>$
  ^16/*16$ ^пыкиргъи/пыкирык<v><iv><neut><aor><s_sg2>/пыкирык<v><iv><neut><aor><s_sg3>$
  ^16/*16$ ^нивын/ивык<v><iv><neut><intn><s_sg3>/ивык<v><tv><neut><aor><a_pl3><o_sg3>$
  ^16/*16$ ^миӈкри/миӈкри<adv>$
  ^16/*16$ ^вытку/вытку<adv>$
  ^16/*16$ ^аʼачекыт/аʼачек<n><pl><abs>/аʼачек<n><px3pl><abs>$
  ^16/*16$ ^Опопы/опопы<part>$
  ^15/*15$ ^ӈинӄэй/ӈинӄэй<n><sg><abs>$
  ^15/*15$ ^ӄырым/ӄырым<part>$
  ^15/*15$ ^ӄача/ӄача<post>$
  ^15/*15$ ^эʼтки/эʼтки<adv>$
  ^15/*15$ ^ытԓыгэ/ытԓыгын<n><erg>$
  ^15/*15$ ^ытри/ытри<prn><pers><p3><pl><abs>$
  ^15/*15$ ^ръэнут/ръэнут<prn><itg><sg><abs>$
  ^15/*15$ ^нивӄинэт/ивык<v><iv><stat><hab><s_pl3>/ивык<v><tv><stat><hab><a_pl3><o_pl3>$
  ^15/*15$ ^гынан/гыт<prn><pers><p2><sg><erg>$
  ^15/*15$ ^гымнан/гым<prn><pers><p1><sg><erg>$
  ^15/*15$ ^Эʼтки/эʼтки<adv>$
  ^15/*15$ ^Эʼми/эʼми<prn><itg>$
  ^15/*15$ ^Кита/*Кита$
  ^15/*15$ ^Ивнинэт/ивык<v><tv><neut><aor><a_sg3><o_pl3>$
  ^15/*15$ ^Аʼм/*Аʼм$
  ^15/*15$ ^)/)<rpar>$
  ^15/*15$ ^(/(<lpar>$
  ^14/*14$ ^ӈоонко/ӈоонко<adv>$
  ^14/*14$ ^Ӄэйвэ/ӄэйвэ<part>$
  ^14/*14$ ^Ӄынвэрэвыр/*Ӄынвэрэвыр$
  ^14/*14$ ^Ӄун/ӄун<part>$
  ^14/*14$ ^эргатык/эргатык<adv>$
  ^14/*14$ ^умӄы/умӄы<n><sg><abs>$
  ^14/*14$ ^пыкирык/пыкирык<v><iv><gna_ant>/пыкирык<v><iv><inf>$
  ^14/*14$ ^нытваӄэнат/вак<v><iv><stat><hab><s_pl3>/вак<v><tv><stat><hab><a_pl3><o_pl3>$
  ^14/*14$ ^варкын/вак<v><iv><prog><aor><s_sg2>/вак<v><iv><prog><aor><s_sg3>/вак<v><tv><prog><aor><a_sg2><o_sg3>$
  ^14/*14$ ^Эʼквырга/эʼквырга<cnjadv>$
  ^14/*14$ ^Нэмыӄэй/нэмыӄэй<adv>$
  ^14/*14$ ^Кэнэӄучи/*Кэнэӄучи$
  ^13/*13$ ^яраӈы/яраӈы<n><sg><abs>$
  ^13/*13$ ^эквэтгъэт/эквэтык<v><iv><neut><aor><s_pl3>$
  ^13/*13$ ^эвиръыт/эвиръын<n><pl><abs>/эвиръын<n><px3pl><abs>$
  ^13/*13$ ^ынӈатаԓ/ынӈатаԓ<ij>$
  ^13/*13$ ^ынык/ытԓён<prn><pers><p3><sg><loc>$
  ^13/*13$ ^ымыԓьэты/ымыԓьэты<adv>/ымы<adv><rel><all>$
  ^13/*13$ ^тытыԓ/тытыԓ<n><sg><abs>$
  ^13/*13$ ^пэнин/пэнин<adj><3sg>/пэнин<adv>$
  ^13/*13$ ^игыр/игыр<adv>$
  ^13/*13$ ^вэнԓыги/вэнԓыги<adv>$
  ^13/*13$ ^а/*а$
  ^13/*13$ ^Эквэтгъи/эквэтык<v><iv><neut><aor><s_sg2>/эквэтык<v><iv><neut><aor><s_sg3>$
  ^13/*13$ ^Ытԓыгын/ытԓыгын<n><px3sg><abs>/ытԓыгын<n><sg><abs>$
  ^13/*13$ ^Ымыӈ/ымыӈ<adv>$
  ^13/*13$ ^Чама/чама<cnjcoo>$
  ^13/*13$ ^Гик/*Гик$
  ^12/*12$ ^ӈэвъэнэ/ӈэвъэн<n><erg>$
  ^12/*12$ ^Ӈэвысӄэт/ӈэвысӄэт<n><sg><abs>$
  ^12/*12$ ^Ӈытогъэ/ӈыток<v><iv><neut><aor><s_sg2>/ӈыток<v><iv><neut><aor><s_sg3>$
  ^12/*12$ ^ӄэпыԓ/ӄэпыԓ<n><sg><abs>$
  ^12/*12$ ^ӄэгԓынангэт/ӄэгԓынангэт<adv>$
  ^12/*12$ ^Ӄунԓеԓюнэ/*Ӄунԓеԓюнэ$
  ^12/*12$ ^э/э<ij>$
  ^12/*12$ ^ынӄъом/*ынӄъом$
  ^12/*12$ ^ынръам/ынкъам<cnjcoo>$
  ^12/*12$ ^уʼвэӄуч/уʼвэӄуч<n><sg><abs>$
  ^12/*12$ ^иквъэт/*иквъэт$
  ^12/*12$ ^гатваԓен/вак<v><iv><stat><perf><s_sg3>/вак<v><tv><stat><perf><o_sg3>$
  ^12/*12$ ^въигъи/въик<v><iv><neut><aor><s_sg2>/въик<v><iv><neut><aor><s_sg3>$
  ^12/*12$ ^аʼтав/аʼтав<adv>/аʼтав<part>$
  ^12/*12$ ^аʼачека/аʼачек<n><erg>$
  ^12/*12$ ^Эченур/эченур<adv>$
  ^12/*12$ ^Китаӄун/*Китаӄун$
  ^12/*12$ ^Аʼтав/аʼтав<adv>/аʼтав<part>$
  ^11/*11$ ^Ӈэвысӄэтэ/ӈэвысӄэт<n><erg>$
  ^11/*11$ ^Ӄырым/ӄырым<part>$
  ^11/*11$ ^Ӄунԓеԓю/*Ӄунԓеԓю$
  ^11/*11$ ^ытԓеӈи/*ытԓеӈи$
  ^11/*11$ ^ыныкит/ыныкит<cnjcoo>$
  ^11/*11$ ^ыннэн/ыннэн<n><sg><abs>$
  ^11/*11$ ^чымче/чымчекин<adj><3sg>/чымче<adv>/чымчык<v><iv><vb>/чымчык<v><tv><vb>$
  ^11/*11$ ^тургин/*тургин$
  ^11/*11$ ^таӈымыԓьо/*таӈымыԓьо$
  ^11/*11$ ^рагтыгъэ/рагтык<v><iv><neut><aor><s_sg2>/рагтык<v><iv><neut><aor><s_sg3>$
  ^11/*11$ ^пэнинэмиԓ/пэнинэмиԓ<adv>$
  ^11/*11$ ^пиринин/пирик<v><tv><neut><aor><a_sg3><o_sg3>/пиӄыпиӄ<n><aa><poss><3sg><poss><3sg><sg><abs>$
  ^11/*11$ ^оʼравэтԓьан/оʼравэтԓьан<n><px3sg><abs>/оʼравэтԓьан<n><sg><abs>$
  ^11/*11$ ^нэнэнэт/*нэнэнэт$
  ^11/*11$ ^ныԓгыӄин/тыԓгык<v><iv><stat><hab><s_sg3>/тыԓгык<v><tv><stat><hab><a_pl3><o_sg3>$
  ^11/*11$ ^нитӄин/итык<v><iv><stat><hab><s_sg3>/итык<v><tv><stat><hab><a_pl3><o_sg3>$
  ^11/*11$ ^гынин/гыт<prn><pers><p2><sg><poss><3sg><sg><abs>$
  ^11/*11$ ^вак/вак<v><iv><gna_ant>/вак<v><iv><inf>$
  ^11/*11$ ^амынан/ам<prn><restr><p3><sg>$
  ^11/*11$ ^Эӄыԓпэ/эӄыԓпэ<adv>$
  ^11/*11$ ^Уйӈэ/уйӈэ<part>$
  ^11/*11$ ^Пыкиргъэт/пыкирык<v><iv><neut><aor><s_pl3>$
  ^11/*11$ ^Моԓԓынто/*Моԓԓынто$
  ^11/*11$ ^Митъэԓыги/*Митъэԓыги$
  ^11/*11$ ^Иаʼм/*Иаʼм$
  ^11/*11$ ^Вэԓер/вэԓер<part>$
  ^11/*11$ ^Аԓымы/аԓымы<part>$
  ^10/*10$ ^ԓыгиин/*ԓыгиин$
  ^10/*10$ ^ӈэнри/ӈэнри<adv>$
  ^10/*10$ ^ӈаргын/ӈаргынкэн<adj><3sg>$
  ^10/*10$ ^Ӈэнку/ӈэнку<adv>$
  ^10/*10$ ^ӄэйвэ/ӄэйвэ<part>$
  ^10/*10$ ^экык/*экык$
  ^10/*10$ ^ытԓьата/*ытԓьата$
  ^10/*10$ ^ынйив/ынйив<n><sg><abs>$
  ^10/*10$ ^тумгыт/тумгытум<n><pl><abs>/тумгытум<n><px3pl><abs>$
  ^10/*10$ ^рээн/риик<v><iv><ger><sg><abs>/риик<v><tv><ger><sg><abs>/рук<v><tv><th><neut><aor><a_sg2><o_sg3>/рээн<post>$
  ^10/*10$ ^рэсӄиквъи/*рэсӄиквъи$
  ^10/*10$ ^пойгын/пойгын<n><px3sg><abs>/пойгын<n><sg><abs>$
  ^10/*10$ ^ныԓеӄин/тыԓек<v><iv><stat><hab><s_sg3>/тыԓек<v><tv><stat><hab><a_pl3><o_sg3>$
  ^10/*10$ ^микынэ/*микынэ$
  ^10/*10$ ^кымиӈын/кымиӈын<n><sg><abs>$
  ^10/*10$ ^йъэԓгытомгыт/*йъэԓгытомгыт$
  ^10/*10$ ^иаʼм/*иаʼм$
  ^10/*10$ ^Эквэтгъэт/эквэтык<v><iv><neut><aor><s_pl3>$
  ^10/*10$ ^Э-эй/э-эй<ij>$
  ^10/*10$ ^Ынӈэ/ынӈэ<part>$
  ^10/*10$ ^Ынӄэнат/*Ынӄэнат$
  ^10/*10$ ^Ынръам/ынкъам<cnjcoo>$
  ^10/*10$ ^Ынпыначгыӄай/ынпыначгын<n><dim><sg><abs>$
  ^10/*10$ ^Пыкирык/пыкирык<v><iv><gna_ant>/пыкирык<v><iv><inf>$
  ^10/*10$ ^Оʼмйъаяӄ/*Оʼмйъаяӄ$
  ^10/*10$ ^И/ёк<v><iv><neut><aor><s_sg2>/ёк<v><iv><neut><aor><s_sg3>$
  ^10/*10$ ^Гым/гым<prn><pers><p1><sg><abs>$
  ^10/*10$ ^Ако/*Ако$
  ^10/*10$ ^А/*А$
   ^9/*9$ ^ԓыги/ԓыги<adv>$
   ^9/*9$ ^ӈэвысӄэтти/ӈэвысӄэт<n><pl><abs>/ӈэвысӄэт<n><px3pl><abs>$
   ^9/*9$ ^Ӈирэӄ/ӈирэӄ<n><sg><abs>$
   ^9/*9$ ^ӄутынэ/*ӄутынэ$
   ^9/*9$ ^эчги/эчги<adv>$
   ^9/*9$ ^этъым/*этъым$
   ^9/*9$ ^чоттагнык/*чоттагнык$
   ^9/*9$ ^тумгытум/тумгытум<n><sg><abs>$
   ^9/*9$ ^рэԓку/*рэԓку$
   ^9/*9$ ^пэтԓе/пэтԓе<adv>$
   ^9/*9$ ^панэнагты/*панэнагты$
   ^9/*9$ ^оʼравэтԓьат/*оʼравэтԓьат$
   ^9/*9$ ^о/*о$
   ^9/*9$ ^нэԓьугъэн/*нэԓьугъэн$
   ^9/*9$ ^нэнэны/нэнэны<n><sg><abs>$
   ^9/*9$ ^м/*м$
   ^9/*9$ ^киткит/киткит<adv>$
   ^9/*9$ ^йъонэн/йъок<v><tv><neut><aor><a_sg3><o_sg3>$
   ^9/*9$ ^ипэ/ипэ<adv>$
   ^9/*9$ ^виин/виин<adv>$
   ^9/*9$ ^ваԓьыт/вак<v><iv><ptcp><act><pl><abs>/вак<v><iv><ptcp><act><px3pl><abs>$
   ^9/*9$ ^аӈӄачормэты/аӈӄачормын<n><all>/аӈӄы<n><side><all>$
   ^9/*9$ ^айыԓго/*айыԓго$
   ^9/*9$ ^Янор/янор<adv>$
   ^9/*9$ ^Этъым/*Этъым$
   ^9/*9$ ^Эʼчууԓгын/*Эʼчууԓгын$
   ^9/*9$ ^Ытԓя/ытԓя<n><sg><abs>$
   ^9/*9$ ^Ынӄъом/*Ынӄъом$
   ^9/*9$ ^Ыныкит/ыныкит<cnjcoo>$
   ^9/*9$ ^Ынпыначгыӄая/*Ынпыначгыӄая$
   ^9/*9$ ^Тэԓенъеп/тэԓенъепкин<adj><3sg>/тэԓенъеп<adv>$
   ^9/*9$ ^Миӈкыри/миӈкыри<adv>$
   ^9/*9$ ^Миӈкри/миӈкри<adv>$
   ^9/*9$ ^Кэнэӄучинэ/*Кэнэӄучинэ$
   ^9/*9$ ^Кыкэ/кыкэ<ij>$
   ^8/*8$ ^ԓынъё/*ԓынъё$
   ^8/*8$ ^ԓымӈэ/ԓымӈэ<adv>$
   ^8/*8$ ^ӈутку/ӈутку<adv>$
   ^8/*8$ ^ӈотӄэн/ӈотӄэн<prn><dem><sg><abs>$
   ^8/*8$ ^ӈинӄэгти/*ӈинӄэгти$
   ^8/*8$ ^Ӈан/ӈан<part>$
   ^8/*8$ ^ӄутырык/*ӄутырык$
   ^8/*8$ ^Ӄутынэ/*Ӄутынэ$
   ^8/*8$ ^ярат/яракэн<v><iv><neut><aor><s_pl3>$
   ^8/*8$ ^эты/эты<part>$
   ^8/*8$ ^эрмэчьын/эрмэчьын<n><px3sg><abs>/эрмэчьын<n><sg><abs>$
   ^8/*8$ ^чинит/чинит<adv>$
   ^8/*8$ ^чеӈэт/*чеӈэт$
   ^8/*8$ ^чакэтта/чакыгэт<n><erg>$
   ^8/*8$ ^тэнӈу/*тэнӈу$
   ^8/*8$ ^тэйкынин/тэйкык<v><tv><neut><aor><a_sg3><o_sg3>$
   ^8/*8$ ^тымнэн/пынэк<v><tv><neut><aor><a_sg1><o_sg3>$
   ^8/*8$ ^рэӄокаԓгын/рэӄокаԓгын<n><sing><abs>$
   ^8/*8$ ^рагтыгъат/рагтык<v><iv><neut><aor><s_pl3>$
   ^8/*8$ ^нымнымык/нымным<n><loc>$
   ^8/*8$ ^нинивӄинэт/*нинивӄинэт$
   ^8/*8$ ^мэчынкы/мэчынкы<adv>$
   ^8/*8$ ^мыныԓӄынмык/ӄытык<v><iv><neut><intn><s_pl1>$
   ^8/*8$ ^миӈкы/миӈкы<adv>$
   ^8/*8$ ^мачынан/*мачынан$
   ^8/*8$ ^кэԓы/*кэԓы$
   ^8/*8$ ^кымиӈыт/*кымиӈыт$
   ^8/*8$ ^йичьэмиттумгын/йичьэмиттумгын<n><px3sg><abs>/йичьэмиттумгын<n><sg><abs>$
   ^8/*8$ ^ик/*ик$
   ^8/*8$ ^ивкэ/ивык<v><iv><neg><hab><vb>/ивык<v><tv><neg><hab><vb>$
   ^8/*8$ ^етгъи/етык<v><iv><neut><aor><s_sg2>/етык<v><iv><neut><aor><s_sg3>$
   ^8/*8$ ^гэнъэԓԓин/нъэԓык<v><iv><stat><perf><s_sg3>/нъэԓык<v><tv><stat><perf><o_sg3>$
   ^8/*8$ ^вэты/вак<v><iv><vb>/вак<v><tv><vb>/вэты<adv>$
   ^8/*8$ ^вагъэ/вак<v><iv><neut><aor><s_sg2>/вак<v><iv><neut><aor><s_sg3>$
   ^8/*8$ ^Эты/эты<part>$
   ^8/*8$ ^Эʼчууԓгынэ/*Эʼчууԓгынэ$
   ^8/*8$ ^Ытԓеӈи/*Ытԓеӈи$
   ^8/*8$ ^Ымы/ымы<adv>/ымы<cnjadv>$
   ^8/*8$ ^Ръэйипгэв/*Ръэйипгэв$
   ^8/*8$ ^Риӄукэтэ/рэӄокаԓгын<n><erg>/рэӄокаԓгын<n><pl><abs>/рэӄокаԓгын<n><px3pl><abs>$
   ^8/*8$ ^Намӈыԓёгъан/*Намӈыԓёгъан$
   ^7/*7$ ^ӈэнку/ӈэнку<adv>$
   ^7/*7$ ^ӈиԓгын/ӈиԓгын<n><px3sg><abs>/ӈиԓгын<n><sg><abs>$
   ^7/*7$ ^ӈирэргэри/ӈирэргэри<n><sg><abs>$
   ^7/*7$ ^Ӈэԓвыԓ/ӈэԓвыԓ<n><sg><abs>$
   ^7/*7$ ^ӄээӄын/ӄээӄын<adv>$
   ^7/*7$ ^ӄэпэр/ӄэпэр<n><sg><abs>$
   ^7/*7$ ^ӄытгъэт/ӄытык<v><iv><neut><aor><s_pl3>$
   ^7/*7$ ^ӄуԓиӄуԓ/ӄуԓиӄуԓ<n><sg><abs>$
   ^7/*7$ ^Ӄунԓеԓюнти/*Ӄунԓеԓюнти$
   ^7/*7$ ^юрэӄ/юрэӄ<adv>$
   ^7/*7$ ^ыргынан/*ыргынан$
   ^7/*7$ ^ынӄоры/ынӄоры<adv>$
   ^7/*7$ ^ынпыначгыӄая/*ынпыначгыӄая$
   ^7/*7$ ^ыʼтвъэт/*ыʼтвъэт$
   ^7/*7$ ^чывинин/*чывинин$
   ^7/*7$ ^чамъам/*чамъам$
   ^7/*7$ ^тэԓенъеп/тэԓенъепкин<adj><3sg>/тэԓенъеп<adv>$
   ^7/*7$ ^тыԓяма/тыԓек<v><iv><gna_sim>/тыԓяк<v><iv><gna_sim>$
